cluster,mean_mean,mean_std,mean_count,std_mean,std_std,std_count,min_mean,min_std,min_count,max_mean,max_std,max_count,range_mean,range_std,range_count,skewness_mean,skewness_std,skewness_count,kurtosis_mean,kurtosis_std,kurtosis_count,max_slope_mean,max_slope_std,max_slope_count,center_of_mass_mean,center_of_mass_std,center_of_mass_count,area_mean,area_std,area_count,fft_1_mean,fft_1_std,fft_1_count,fft_2_mean,fft_2_std,fft_2_count,fft_3_mean,fft_3_std,fft_3_count,fft_4_mean,fft_4_std,fft_4_count,fft_5_mean,fft_5_std,fft_5_count,fft_6_mean,fft_6_std,fft_6_count,fft_7_mean,fft_7_std,fft_7_count,fft_8_mean,fft_8_std,fft_8_count,fft_9_mean,fft_9_std,fft_9_count,fft_10_mean,fft_10_std,fft_10_count,cluster_mean,cluster_std,cluster_count
0,0.005988136809444443,0.09837170376461266,36,2.283255143611111,1.1134479772838908,36,-4.385174958333334,2.285846504106577,36,5.580214,3.653547485977854,36,9.96538878888889,5.37069745244406,36,0.25722049007243997,0.7110830217846402,36,0.11593882041666667,1.3450014805380905,36,0.2606687213333333,0.4593048513579637,36,-28791.56811210491,67050.04477997802,36,4.835083184574076,184.85486677424848,36,1388.7097961111112,1249.8391442820828,36,885.2020202222222,765.3430621524458,36,1438.741340361111,1351.7427080455898,36,1141.7273188055556,1233.4633703021414,36,844.5187354166667,730.509582070355,36,579.7293731944444,583.0208635296094,36,452.30574386111107,541.3075532574927,36,376.38606525,434.42684445869173,36,244.12281716666666,261.90396553150913,36,211.28410522222222,214.31975252875353,36,0.0,0.0,36
1,3.7565006141747577,4.863880238107334,103,7.2645223873786415,5.323014798689729,103,-9.661677099029127,8.178772791588521,103,23.260413000000003,18.614736000349286,103,32.92209004368932,22.60671132638256,103,0.4690795523720314,0.8148714583626463,103,0.49243683388834947,2.0779247233904368,103,0.9598007202912622,1.3509636946934536,103,1542.4752980490562,1115.5116858441313,103,9248.100024304587,13706.470119046606,103,5979.57875776699,9725.1113135246,103,5440.08263592233,8453.158838188287,103,6179.978155339806,6292.255375103097,103,4672.986698058253,3894.967563595789,103,3222.3375560194177,2871.6883185884835,103,2687.9390788349515,3498.044271005283,103,2338.681364174757,3056.817496590351,103,1928.5919749514562,2383.5366837273523,103,1248.6219997087378,1280.506559568671,103,1267.9169149514564,1841.059146251101,103,1.0,0.0,103
2,1.436522756612604,1.6214226193518984,841,2.200926162271106,1.2586455232010985,841,-2.793710696184423,2.555600813261863,841,6.362828178347206,4.0002856502767035,841,9.156538879346016,5.335142456283205,841,0.158073086273937,0.5784487414281462,841,-0.24630303543326992,0.9800024631548366,841,0.20505962785612367,0.24973699909695143,841,740.7776011603751,711.1021814381467,841,1819.002017467899,2056.4837112217547,841,960.8162764280619,842.4677877812214,841,772.6961692703925,707.6010985771389,841,1135.6162266639715,1093.1374680075849,841,718.866056674673,730.9224710758594,841,482.5045331903686,503.31536742497195,841,364.2601880619501,393.04845217167775,841,260.4752415696076,292.59796334310664,841,217.56705806291322,234.46684771542095,841,178.36555137065398,220.2169867852645,841,144.39170397432818,166.91985157302722,841,2.0,0.0,841
3,-0.1141275343525,0.38011502218693966,40,3.8680072775,1.8047739865890757,40,-7.980222135,3.7877885340199104,40,8.023544577500001,3.588484241971735,40,16.003766572500002,6.588770399571432,40,-0.006920606282074003,0.532693158616112,40,-0.3072076912,0.8863178723159518,40,0.29822717774999996,0.35677232532940445,40,9734.825197979744,14264.761701164687,40,-141.94282189590547,600.4298270338401,40,2435.8798655,1666.4898930254599,40,1939.2266960000002,1318.058283164392,40,2662.99519875,2303.1080728299826,40,1348.52162125,1152.9570922586836,40,1110.435371,711.1171699029021,40,1084.524394,1192.2135539807796,40,625.224895525,616.07410725424,40,534.63765205,594.9220187727447,40,408.92931265,318.62371685336785,40,375.5396061,323.8069181299608,40,3.0,0.0,40
4,-1.679581166141956,1.7121986785279162,317,3.6639534164037855,2.0146742215468825,317,-9.511121224921135,5.328032187795143,317,6.336434270706625,4.721249179857181,317,15.84755550094637,8.723112360398195,317,-0.01170485542792598,0.5451629597548481,317,-0.21512259487223975,0.9606549800002663,317,0.37780479518927446,0.4542682099291482,317,901.0300826918411,1284.3187140869647,317,-3579.1185195067396,3379.768871937963,317,2363.5113155205045,2116.0064320082806,317,1876.6116440694004,1766.968583204563,317,3088.7306017350156,2602.5230701904707,317,2142.485161072555,2075.7676635430416,317,1547.3885823217665,1376.7054764505067,317,1171.5866515331231,1076.464799684901,317,988.567913274448,1016.6387532184737,317,751.7913043520505,742.8072956341905,317,634.4595030851735,660.25642526944,317,529.9208167271292,546.5772398865113,317,4.0,0.0,317
5,-0.8904336389632352,0.7558305388583225,272,1.5064734060661764,0.9607143731298134,272,-3.9330567175735296,2.3892475960668826,272,2.1320306728161764,1.9454479790791137,272,6.065087395955882,3.9313350276643866,272,-0.0450668616215219,0.5589226598646834,272,-0.3680112086231618,0.8235428481929216,272,0.15214550243382355,0.20963676556618094,272,524.6655779676588,266.98929910184154,272,-844.638841221268,529.5838787750582,272,572.4870821580882,470.55625095325485,272,396.7315011948529,339.94984992080225,272,514.9293658981617,445.86838885705436,272,321.7623358180147,253.54220800326283,272,216.41694959558822,188.5727505271304,272,164.5605003625,157.8169621629836,272,126.97905449889707,131.69234096427732,272,103.8138785492647,104.71464311545829,272,76.02032660257353,78.10684547080061,272,63.63150260477941,69.49893008225335,272,5.0,0.0,272
