image_id,bed_slope,bed_intercept,bed_r2,bed_fit_success,edge_amplitude,edge_steepness,edge_midpoint,edge_offset,edge_r2,edge_fit_success,skin_slope,skin_intercept,skin_r2,skin_fit_success,bed_mean,bed_std,bed_skew,bed_kurtosis,edge_mean,edge_std,edge_skew,edge_kurtosis,skin_mean,skin_std,skin_skew,skin_kurtosis,spectral_centroid,spectral_entropy
-LiMpCaA24H9MjEXOVk0.-LiMpKyjdotKO7FGl0BA.-LiMymF5piukCb3-bLxl,0.14525168642891223,-12.115992034783023,0.9998217834325351,1,2.5155712254345874,0.20260034962173806,80.94786936905335,-1.7292477757843838,0.9864396623434324,1,-0.017621937128782683,2.5231185594179992,0.9330763000430451,1,-6.741645378279673,3.145040848662611,-0.00039863781871323357,-1.2254411896407542,0.40269236858403673,0.5759718074728678,-1.4186351206626289,0.7952197659537568,-0.34059793703733127,0.39991137519243175,0.671717503974843,-0.812993939605398,0.0074426249555595,2.005837375741733
-MfqQk9rlT3xf39lOVf8.-MfqQznhrKIfXEo5_v3e.-MlUFYxxTal0uM70vCHJ,-0.0603222788103801,22.38724925006419,0.9172934670216504,1,-15.011961229386477,0.12078837170632319,91.37234003085733,18.514905608929165,0.9983579983242525,1,-0.06543859884600489,11.185854879614778,0.9936247718992249,1,20.154846527816666,1.3649694942829387,-0.8130395833753515,-0.3762320163635149,8.828644634152987,4.39107178920929,0.43501937402378865,-1.3074304862133066,0.5523301048938369,1.4399747112691241,-0.05489884902607572,-0.959196927264975,0.0035173640819395357,1.295808443189304
-MpuPGPaG14m06m5GGV6.-MpuPNQdloC_xZ0ixJc9.-MpuPTec_LSCCg9hQeh9,-0.1955472008516535,-13.603146575539162,0.9983900292936337,1,21.21261038513975,0.20234367240294782,53.377575494371534,-19.099101335806683,0.9989730534944963,1,-0.08628203788072297,9.777229531514694,0.6964413071527846,1,-15.949735778636224,1.4130656785032336,0.053531943329408097,-1.2838075141804013,-10.113097228420026,8.138408468591994,0.27622372410341955,-1.605646558171967,0.07099802052032035,2.2718158667506114,1.0519727794651332,-0.4871980914039855,0.005067451676250994,1.5126454325690926
-LkStkgOz4aCQplRjDVI.-LkSu-v9GyFDvJPWbbAu.-LrNJIHi8YkYnNuVuJ3r,-0.02613966911432358,2.5474035934601353,0.9938322934656523,1,-2.894490132918327,0.08122271669657978,101.93774839837694,0.6918302290043327,0.9987279999555269,1,0.053872089830429015,-9.2297631983219,0.9585098988071477,1,1.5804861773521885,0.5673069307385902,-0.1910903155022416,-1.1233139480825136,-0.6475435762938629,0.7106656720280689,-0.08821402717866839,-1.3937138312381794,-0.4755613321928313,1.207398412490951,0.20991633189845876,-1.5454670334885312,0.005427651945574689,0.6845331033392156
-LilnSmSyM-6usWD64ZZ.-LilnfIIotZ2luAuWpsh.-MOf7yjM27GzIdmytBip,0.0331005015601068,-14.915805500569082,0.6448810143250698,1,71.14683670676729,0.04158963440788366,36.7631419183101,-70.5876582613351,0.9608300297272323,1,-0.012780387760003956,2.1305864868257287,0.20560849796342706,1,-13.691173139196414,0.8920450640731281,1.3699936601443439,0.7538235236348401,-5.031007256185278,3.036655355083431,-0.5382705860185175,-1.001985656733881,0.05374544751843834,0.6188393069469535,-0.46039908025291143,-1.2180571754352574,0.0030593702621592197,1.234653906415589
-LzpOhLU89jIhcizMvjA.-LzpOsIXYS1G9UI5k1xA.-M1P_BlLZBtauS2InEB-,0.004038391252080305,2.411974801134602,0.7114158462030523,1,,,,,,0,-0.022402936834991404,2.059198129755004,0.9220050458514734,1,2.436532405415435,0.02147951559589318,0.5848135739466834,0.5825695974260117,1.8108951279541023,0.4621964316792402,-0.23070108254733157,-1.1171046577440185,-0.1922377889686566,0.5123916698115353,0.6506170737359074,-0.9131818197930657,0.009030493665853644,1.8767274363244124
-NWaV80rB-4xKmVJVsyV.-NWaZJf0SrfcpEeGHAEa.-NYwGzeoFTcOiBNCuuBy,0.005481916674361376,-0.07005667263830606,0.8262915434001005,1,0.03790492316667769,-1.9926658902032928,56.50772300192395,0.08398820039005234,0.2633660265775212,1,-0.004725185434205859,0.7554054610129474,0.8919925876507131,1,0.05605560110812978,0.08321444841501559,-0.9402673730222383,-0.15068458400302065,0.09134800575461022,0.0302987172643937,0.39337885714461784,-0.6543235909027634,0.11989855446148796,0.10999480942404746,-0.6052497247286754,-0.6840341250554434,0.004122629536227251,1.4624508792451474
-NLQ9ArLNPOU5ZK1WO0d.-NPvYMrvoe8cuuy6-iDx.-NV44rPNRmXnrJ0v-c-S,-0.01569851871362138,-0.8847210298556525,0.8515246465153057,1,1.5571733769667266,0.1811303893866714,75.8516967835614,-1.529884722281917,0.9981017942328391,1,-6.986391238645119e-05,-0.09338527723220248,0.0006109545066237398,1,-1.3324853610694836,0.2851483553572283,0.6013466137302091,-1.2452691069478186,-0.5494804186191423,0.555086643739647,-0.45899481561548544,-1.4186968309892536,-0.10368796944448291,0.062324693121140216,0.2778038867875439,-0.7914892211710516,0.0028351230671759026,1.249211018265972
-N2L5E4vNd0BYiMZcEJi.-N2L5K0vZP35WS4HIpqr.-N5iMvNLtP4XKQ3125se,0.0032149834300451152,-1.9234908751889699,0.49566078197865193,1,1.9304528156303584,0.05646247580454118,71.32045713884888,-1.939923676271043,0.9979151452536578,1,0.017437072014621857,-1.8102052513482287,0.8741431494316108,1,-1.8704070070404941,0.04697386408749283,0.30136115313153494,1.4833539124106094,-1.267666811357091,0.3279089149179287,0.26563970142974663,-1.2107459164074519,0.3082853516300699,0.4092806645396975,-0.8261263078167898,-0.6823730352691539,0.00795981182262462,1.8273474468763573
-M76qN-Y4qB-ndFVJQyO.-M76qgEYnhDG9ZrB6Og6.-M7vghmDgvJfBeL-Q9lO,0.09225517588099585,-6.6475753826683395,0.9826104206547047,1,0.3519619355247719,0.4285034436630743,118.48992377859432,-0.43670392708072214,0.8386938379916086,1,0.00038608979371479446,0.4974397241301407,0.0008110186277923148,1,-3.2341477802671195,2.0148368588306047,-0.2854022053260927,-1.2878132009630667,-0.39315580709439646,0.09849670553262989,1.351929294210294,1.3910056308835124,0.560193287916186,0.29768951722818754,-0.37989727411084273,-1.1414010827927976,0.011074791109887907,2.48759561096826
-LceKoJLHb8IoImrI10u.-LceLGShBo4OlOGC-9af.-LnCLtC28l4rM-fyM1Um,-0.07694892461865366,8.210527602960816,0.9809500064063842,1,-3.8923289818447198,0.08973782205881789,94.89618656899316,3.4280299581071043,0.9999380666214462,1,0.00894413935784244,-1.555452016956281,0.8997072801079503,1,5.363191184638407,1.6818293443864065,0.34283582077490304,-1.1662672989577245,1.1931473031533772,1.009064327328576,0.1842283794127682,-1.386528063649589,-0.10174729042175353,0.20674597967980143,0.3259799016316118,-1.4854759224800522,0.00618023081495266,1.779676673439594
-Lhi_hQB4d9hP668bC18.-Lhi_pFqfsm7Fzt3bPH5.-MRxdGz0F8O-Wnn7c1pW,-0.2131206973683096,16.987058946701342,0.9956870178806343,1,-24.051519962323265,0.07516154157973022,18.53031114864449,25.058075607901642,0.999122935848281,1,-0.03192594186763298,3.36585635971512,0.9848445184059762,1,15.069999534583955,1.174597833422237,-0.15062314511272673,-1.0828941180459455,5.302022988320641,3.3663171070282676,0.736804610206569,-0.7357372271291092,-0.03444804826196514,0.7057432676480386,0.327461205901523,-1.0868769924049584,0.011153865431239859,2.1875995192139683
-N5Ex_wTi09PJr4NM0tK.-N5Ey-2ybtGwNm1dXOdE.-NFDYbpAgXzZqtS8ezZu,-0.030185102256214513,4.233438565031292,0.8708295405282148,1,-2064.9216544064006,0.06071023778955339,-51.5330316662636,2065.4278698579674,0.9821494527646373,1,-0.009241098184537,1.5297816408136917,0.9645522852267944,1,3.1168468736017703,0.7000729171963918,-0.8051067948250749,-0.6759461763900099,0.8136392221407437,0.25374368288841664,0.9335037505833507,-0.11739196872252888,0.028360662469526184,0.2065958454986669,0.4412271611300713,-1.0416335388392477,0.004516736390728041,1.5764049319945792
